FESESION;HORA;VERPREV;ENERGIA;FEULTMOD;CDUSUARIO
2021-01-04 00:00:00;2;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;3;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;4;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;5;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;6;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;7;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;8;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;9;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;10;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;11;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;12;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;13;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;14;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;15;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;16;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;17;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;18;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;19;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;20;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;21;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;22;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;23;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-04 00:00:00;24;2;0.0;2021-01-03 02:23:47.287;SOLABEN
2021-01-05 00:00:00;1;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;2;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;3;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;4;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;5;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;6;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;7;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;8;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;9;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;10;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;11;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;12;2;0.6;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;13;2;3.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;14;2;16.5;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;15;2;18.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;16;2;23.8;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;17;2;26.5;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;18;2;15.7;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;19;2;3.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;20;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;21;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;22;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;23;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-05 00:00:00;24;2;0.0;2021-01-04 02:29:45.867;SOLABEN
2021-01-06 00:00:00;1;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;2;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;3;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;4;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;5;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;6;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;7;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;8;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;9;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;10;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;11;3;2.3;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;12;3;13.6;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;13;3;20.3;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;14;3;10.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;15;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;16;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;17;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;18;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;19;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;20;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;21;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;22;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;23;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-06 00:00:00;24;3;0.0;2021-01-06 00:54:59.163;SOLABEN
2021-01-07 00:00:00;1;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;2;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;3;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;4;2;0.0;2021-01-06 01:11:40.530;SOLABEN
2021-01-07 00:00:00;5;2;0.0;2021-01-06 01:11:40.530;SOLABEN
