Fecha,Period,PREVISION,E_SIMEL,DESVIO,f_PREV_HIGH,f_RUN,Dia_Semana,Es_fin_semana,Año,Mes,Día
2023-11-15,1,0,0,,,,3,False,2023,11,15
2023-11-15,2,0,0,,,,3,False,2023,11,15
2023-11-15,3,0,0,,,,3,False,2023,11,15
2023-11-15,4,0,0,,,,3,False,2023,11,15
2023-11-15,5,0,0,,,,3,False,2023,11,15
2023-11-15,6,0,0,,,,3,False,2023,11,15
2023-11-15,7,0,0,,,,3,False,2023,11,15
2023-11-15,8,0,0,,,,3,False,2023,11,15
2023-11-15,9,0,0,,,,3,False,2023,11,15
2023-11-15,10,0,0,,,,3,False,2023,11,15
2023-11-15,11,0,0,,,,3,False,2023,11,15
2023-11-15,12,3.9,0,,,,3,False,2023,11,15
2023-11-15,13,12.7,0,,,,3,False,2023,11,15
2023-11-15,14,16.9,0,,,,3,False,2023,11,15
2023-11-15,15,22.9,0,,,,3,False,2023,11,15
2023-11-15,16,28.8,0,,,,3,False,2023,11,15
2023-11-15,17,30.6,0,,,,3,False,2023,11,15
2023-11-15,18,15.7,0,,,,3,False,2023,11,15
2023-11-15,19,0.4,0,,,,3,False,2023,11,15
2023-11-15,20,0,0,,,,3,False,2023,11,15
2023-11-15,21,0,0,,,,3,False,2023,11,15
2023-11-15,22,0,0,,,,3,False,2023,11,15
2023-11-15,23,0,0,,,,3,False,2023,11,15
2023-11-15,24,0,0,,,,3,False,2023,11,15
